{'01044099999': -10.0, '02293099999': -27.6}
         311973 function calls (306458 primitive calls) in 0.273 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       71    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
       25    0.000    0.000    0.000    0.000 typing.py:515(<genexpr>)
      142    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
       24    0.000    0.000    0.000    0.000 abc.py:110(register)
      403    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 ssl.py:1002(SSLSocket)
       16    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 auth.py:1(<module>)
      186    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
       83    0.000    0.000    0.000    0.000 types.py:176(__get__)
    26/25    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
      428    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       84    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 structures.py:1(<module>)
       24    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 traceback.py:457(TracebackException)
      374    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       19    0.000    0.000    0.000    0.000 ipaddress.py:1147(_make_netmask)
       35    0.000    0.000    0.000    0.000 typing.py:137(_type_convert)
       62    0.000    0.000    0.000    0.000 __init__.py:25(__new__)
        1    0.000    0.000    0.000    0.000 six.py:141(MovedAttribute)
      133    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:872(__init__)
        1    0.000    0.000    0.000    0.000 ssl.py:159(TLSVersion)
       11    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
    26/25    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       17    0.000    0.000    0.000    0.000 enum.py:569(_check_for_existing_members)
      199    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 cookies.py:165(<dictcomp>)
       20    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
        1    0.000    0.000    0.000    0.000 ssl.py:169(_TLSContentType)
      176    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      101    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
        1    0.000    0.000    0.000    0.000 resources.py:129(_path_from_reader)
      127    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
        1    0.000    0.000    0.000    0.000 threading.py:1386(__init__)
        1    0.000    0.000    0.000    0.000 resources.py:135(_path_from_resource_path)
       71    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
       47    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        1    0.000    0.000    0.000    0.000 client.py:1514(LineTooLong)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1710(_parse_hextet)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.next}
      127    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
        4    0.000    0.000    0.000    0.000 ssl.py:457(__new__)
      127    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
